DATAFLOW,Geographic area,INDICATOR,RESIDENCE,SEX,Current age,TIME_PERIOD,OBS_VALUE,DATA_SOURCE,UNIT_MEASURE,UNIT_MULTIPLIER,SOURCE_LINK,SERIES_FOOTNOTE,OBS_FOOTNOTE,OBS_STATUS
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,47.494,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,47.086,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,51.832,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,51.771,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,51.759,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,51.767,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,51.752,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,51.728,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,51.691,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,51.569,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,51.411,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_017: Middle Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,51.279,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
